title,price,house_area,land_area,date_posted,address,highway,km,type,house_area_group,land_area_group,price_per_m2,price_per_m2_group
"Дом 150 м² на участке 7,3 сот.",8200000.0,150.0,,4 апреля 19:12,д. Холмы,Пятницкое шоссе,29,Дом,150-180 м²,,54666.666666666664,50k-60k
Дом 90 м² на участке 6 сот.,10950000.0,90.0,6.0,16 июня 22:52,д. Малая Дубна,Горьковское шоссе,70,Дом,90-120 м²,6-9 соток,121666.66666666667,100k-150k
Дом 250 м² на участке 7 сот.,9500000.0,250.0,7.0,31 марта 2024,садовое товарищество Родник-2,Рогачёвское шоссе,25,Дом,240-300 м²,6-9 соток,38000.0,30k-40k
Дом 174 м² на участке 12 сот.,5500000.0,174.0,12.0,7 дней назад,д. Глазово,Минское шоссе,101,Дом,150-180 м²,12-15 соток,31609.19540229885,30k-40k
Дом 90 м² на участке 9 сот.,2190000.0,90.0,9.0,11 июля 2022,д. Федцово,Новорижское шоссе,103,Дом,90-120 м²,9-12 соток,24333.333333333332,20k-30k
"Дом 88 м² на участке 5,1 сот.",3545000.0,88.0,,7 дней назад,с. Никитское,Новорязанское шоссе,56,Дом,60-90 м²,,40284.09090909091,40k-50k
"Дом 64 м² на участке 10,4 сот.",5200000.0,64.0,,7 дней назад,д. Афанасовка,Киевское шоссе,,Дом,60-90 м²,,81250.0,80k-90k
"Дом 151 м² на участке 6,3 сот.",7850000.0,151.0,,7 дней назад,"Подольск, СНТ Цементник",Варшавское шоссе,15,Дом,150-180 м²,,51986.75496688742,50k-60k
Дом 59 м² на участке 11 сот.,3200000.0,59.0,11.0,3 дня назад,д. Теряево,Дмитровское шоссе,54,Дом,0-60 м²,9-12 соток,54237.28813559322,50k-60k
Дача 60 м² на участке 6 сот.,2500000.0,60.0,6.0,7 дней назад,СНТ Радуга,Симферопольское шоссе,41,Дача,60-90 м²,6-9 соток,41666.666666666664,40k-50k
Дом 117 м² на участке 12 сот.,3200000.0,117.0,12.0,1 неделю назад,д. Гусенево,Новорижское шоссе,77,Дом,90-120 м²,12-15 соток,27350.42735042735,20k-30k
"Дача 60,1 м² на участке 6 сот.",1480000.0,60.1,6.0,1 неделю назад,"Электрогорск,садовое товарищество Рассвет Подольский Завод",Горьковское шоссе,59,Дача,60-90 м²,6-9 соток,24625.623960066554,20k-30k
Дача 60 м² на участке 15 сот.,4500000.0,60.0,15.0,3 дня назад,Яхрома,Дмитровское шоссе,45,Дача,60-90 м²,15-17 соток,75000.0,70k-80k
"Дом 200 м² на участке 9,5 сот.",18000000.0,200.0,,27 января 2021,коттеджный пос. Анютины Глазки,Ленинградское шоссе,56,Дом,180-210 м²,,90000.0,90k-100k
Дача 75 м² на участке 12 сот.,2300000.0,75.0,12.0,3 дня назад,д. Колычево,Новокаширское шоссе,61,Дача,60-90 м²,12-15 соток,30666.666666666668,30k-40k
Дача 142 м² на участке 6 сот.,4300000.0,142.0,6.0,3 дня назад,СНТ Ярцево,Калужское шоссе,34,Дача,120-150 м²,6-9 соток,30281.690140845072,30k-40k
"Дом 42 м² на участке 10,6 сот.",2200000.0,42.0,,2 недели назад,пос. Дорохово,Минское шоссе,67,Дом,0-60 м²,,52380.95238095238,50k-60k
Дача 100 м² на участке 6 сот.,3000000.0,100.0,6.0,7 дней назад,КП Ромашково-37,Новорязанское шоссе,45,Дача,90-120 м²,6-9 соток,30000.0,30k-40k
Дом 84 м² на участке 9 сот.,1600000.0,84.0,9.0,3 дня назад,садовое товарищество Нептун,Новорижское шоссе,88,Дом,60-90 м²,9-12 соток,19047.619047619046,10k-20k
Дача 20 м² на участке 61 сот.,1600000.0,20.0,61.0,7 августа 08:01,СНТ Синтез,Носовихинское шоссе,30,Дача,0-60 м²,17+ соток,80000.0,80k-90k
Дом 90 м² на участке 8 сот.,4500000.0,90.0,8.0,3 дня назад,Зарайск,Каширское шоссе,119,Дом,90-120 м²,6-9 соток,50000.0,50k-60k
Дом 96 м² на участке 10 сот.,5550000.0,96.0,10.0,19 мая 09:07,д. Подмошье,Дмитровское шоссе,54,Дом,90-120 м²,9-12 соток,57812.5,50k-60k
"Дом 140 м² на участке 11,5 сот.",5800000.0,140.0,,3 дня назад,территория ДНП Маринские дачи,Пятницкое шоссе,49,Дом,120-150 м²,,41428.57142857143,40k-50k
"Дом 120 м² на участке 9,5 сот.",8100000.0,120.0,,3 дня назад,д. Бахтеево,Егорьевское шоссе,44,Дом,120-150 м²,,67500.0,60k-70k
"Дача 40 м² на участке 7,1 сот.",2000000.0,40.0,,5 апреля 09:42,"Электросталь, садовое товарищество Южное",Носовихинское шоссе,38,Дача,0-60 м²,,50000.0,50k-60k
"Дача 60 м² на участке 5,5 сот.",3500000.0,60.0,,3 дня назад,СНТ Старт,Щёлковское шоссе,34,Дача,60-90 м²,,58333.333333333336,50k-60k
Дом 100 м² на участке 6 сот.,3500000.0,100.0,6.0,27 февраля 00:54,садоводческое некоммерческое товарищество Яблоко-2,Киевское шоссе,44,Дом,90-120 м²,6-9 соток,35000.0,30k-40k
Дом 75 м² на участке 6 сот.,3900000.0,75.0,6.0,22 мая 09:20,ДНП Лесная опушка,Ярославское шоссе,67,Дом,60-90 м²,6-9 соток,52000.0,50k-60k
"Дом 96,7 м² на участке 6 сот.",8500000.0,96.7,6.0,3 дня назад,д. Исаково,Калужское шоссе,31,Дом,90-120 м²,6-9 соток,87900.72388831437,80k-90k
"Дом 150,4 м² на участке 8 сот.",6450000.0,150.4,8.0,24 ноября 2024,д. Андреевское,Новорязанское шоссе,11,Дом,150-180 м²,6-9 соток,42885.63829787234,40k-50k
"Дом 123 м² на участке 7,2 сот.",2385000.0,123.0,,7 дней назад,садоводческое некоммерческое товарищество Сушкинская,Можайское шоссе,35,Дом,120-150 м²,,19390.243902439026,10k-20k
"Дом 74,5 м² на участке 8,5 сот.",3500000.0,74.5,,3 дня назад,садоводческое некоммерческое товарищество Загорье,Ярославское шоссе,72,Дом,60-90 м²,,46979.86577181208,40k-50k
"Дача 64,5 м² на участке 5 сот.",2700000.0,64.5,5.0,3 дня назад,"Подольск, СНТ Колос",Симферопольское шоссе,31,Дача,60-90 м²,3-6 соток,41860.46511627907,40k-50k
Дом 100 м² на участке 10 сот.,3690000.0,100.0,10.0,5 августа 11:47,д. Четряково,Новокаширское шоссе,49,Дом,90-120 м²,9-12 соток,36900.0,30k-40k
"Дом 69,4 м² на участке 6 сот.",4500000.0,69.4,6.0,3 дня назад,д. Кузнецово,Егорьевское шоссе,33,Дом,60-90 м²,6-9 соток,64841.4985590778,60k-70k
Дом 74 м² на участке 6 сот.,2500000.0,74.0,6.0,3 дня назад,СНТ Рогово-1,Варшавское шоссе,53,Дом,60-90 м²,6-9 соток,33783.78378378379,30k-40k
Дом 280 м² на участке 5 сот.,5000000.0,280.0,5.0,7 дней назад,д. Фёдоровка,Пятницкое шоссе,11,Дом,240-300 м²,3-6 соток,17857.14285714286,10k-20k
Дом 135 м² на участке 6 сот.,11500000.0,135.0,6.0,3 дня назад,Красногорск,Пятницкое шоссе,17,Дом,120-150 м²,6-9 соток,85185.18518518518,80k-90k
Дом 90 м² на участке 6 сот.,3500000.0,90.0,6.0,4 июля 19:49,садовое товарищество Озёрное,Волоколамское шоссе,62,Дом,90-120 м²,6-9 соток,38888.88888888889,30k-40k
Дом 120 м² на участке 5 сот.,5345000.0,120.0,5.0,7 дней назад,с. Шарапово,Симферопольское шоссе,50,Дом,120-150 м²,3-6 соток,44541.666666666664,40k-50k
Дом 75 м² на участке 6 сот.,3000000.0,75.0,6.0,3 дня назад,КП Большое Татариново,Новокаширское шоссе,46,Дом,60-90 м²,6-9 соток,40000.0,40k-50k
"Дом 152 м² на участке 7,2 сот.",11200000.0,152.0,,3 дня назад,Домодедово,Новокаширское шоссе,39,Дом,150-180 м²,,73684.21052631579,70k-80k
Дом 111 м² на участке 8 сот.,11450000.0,111.0,8.0,16 июня 13:10,Бронницы,Новорязанское шоссе,40,Дом,90-120 м²,6-9 соток,103153.15315315315,100k-150k
"Дом 76,7 м² на участке 17,1 сот.",2400000.0,76.7,,7 дней назад,с. Мышенское,Новокаширское шоссе,62,Дом,60-90 м²,,31290.743155149932,30k-40k
"Дом 36 м² на участке 1,5 сот.",2000000.0,36.0,,7 дней назад,пгт. Правдинский,Ярославское шоссе,22,Дом,0-60 м²,,55555.555555555555,50k-60k
Дом 110 м² на участке 16 сот.,4000000.0,110.0,16.0,5 июля 16:51,СНТ Темп-Шереметьево,Дмитровское шоссе,40,Дом,90-120 м²,15-17 соток,36363.63636363636,30k-40k
Дом 108 м² на участке 8 сот.,2950000.0,108.0,8.0,3 дня назад,"д. Мансурово, СНТ Острожки",Новокаширское шоссе,41,Дом,90-120 м²,6-9 соток,27314.814814814814,20k-30k
"Дом 150 м² на участке 7,5 сот.",3800000.0,150.0,,7 июля 13:49,д. Епихино,Егорьевское шоссе,127,Дом,150-180 м²,,25333.333333333332,20k-30k
Дом 110 м² на участке 6 сот.,5999000.0,110.0,6.0,17 июля 13:36,КП Лисичкино-2,Рязанское шоссе,46,Дом,90-120 м²,6-9 соток,54536.36363636364,50k-60k
"Дом 100 м² на участке 6,8 сот.",4700000.0,100.0,,4 августа 16:26,пос. Вельяминово,Новокаширское шоссе,45,Дом,90-120 м²,,47000.0,40k-50k
Дом 110 м² на участке 5 сот.,7000000.0,110.0,5.0,9 апреля 2024,с. Вельяминово,Новокаширское шоссе,45,Дом,90-120 м²,3-6 соток,63636.36363636364,60k-70k
Дом 146 м² на участке 8 сот.,9500000.0,146.0,8.0,3 дня назад,с. Свитино,Варшавское шоссе,42,Дом,120-150 м²,6-9 соток,65068.49315068493,60k-70k
Дача 42 м² на участке 10 сот.,850000.0,42.0,10.0,12 августа 2023,садоводческое некоммерческое товарищество Содружество,Минское шоссе,110,Дача,0-60 м²,9-12 соток,20238.095238095237,20k-30k
Дом 66 м² на участке 10 сот.,4200000.0,66.0,10.0,3 недели назад,"с. Федосьино, коттеджный пос. Прибрежный парк",Новорязанское шоссе,70,Дом,60-90 м²,9-12 соток,63636.36363636364,60k-70k
Дом 80 м² на участке 12 сот.,7700000.0,80.0,12.0,5 июля 15:58,СНТ Вега,Новорязанское шоссе,38,Дом,60-90 м²,12-15 соток,96250.0,90k-100k
"Дача 46,1 м² на участке 8,3 сот.",3000000.0,46.1,,5 августа 17:06,СНТ Малиновка,Ярославское шоссе,38,Дача,0-60 м²,,65075.92190889371,60k-70k
Дом 110 м² на участке 8 сот.,9100000.0,110.0,8.0,4 июля 13:24,ТСН Ромашкино-2,Симферопольское шоссе,58,Дом,90-120 м²,6-9 соток,82727.27272727272,80k-90k
Дом 96 м² на участке 8 сот.,7039200.0,96.0,8.0,7 дней назад,д. Мартемьяново,Киевское шоссе,28,Дом,90-120 м²,6-9 соток,73325.0,70k-80k
"Дом 76,2 м² на участке 7,5 сот.",2990000.0,76.2,,28 января 16:46,СНТ Дружба,Каширское шоссе,41,Дом,60-90 м²,,39238.84514435696,30k-40k
